n =  2265, term = 12, ratio = 1.000478, overshoot = 9.484281e+1018
n =  2278, term = 13, ratio = 1.024255, overshoot = 5.049613e+1026
n =  2290, term = 12, ratio = 1.001659, overshoot = 9.052934e+1030
n =  2303, term = 13, ratio = 1.018282, overshoot = 1.046224e+1038
n =  2316, term = 13, ratio = 1.052133, overshoot = 1.564169e+1044
n =  2328, term = 12, ratio = 1.028279, overshoot = 2.224261e+1049
n =  2340, term = 12, ratio = 1.005386, overshoot = 1.110456e+1054
n =  2353, term = 13, ratio = 1.029057, overshoot = 6.282094e+1060
n =  2365, term = 12, ratio = 1.003114, overshoot = 1.765066e+1065
n =  2378, term = 13, ratio = 1.017263, overshoot = 1.025931e+1072
n =  2391, term = 13, ratio = 1.060009, overshoot = 1.869723e+1078
n =  2403, term = 12, ratio = 1.038588, overshoot = 3.151764e+1083
n =  2415, term = 12, ratio = 1.011513, overshoot = 2.464994e+1088
n =  2428, term = 13, ratio = 1.031264, overshoot = 7.019276e+1094
n =  2440, term = 12, ratio = 1.008464, overshoot = 4.981340e+1099
n =  2453, term = 13, ratio = 1.058764, overshoot = 1.813297e+1106
n =  2465, term = 12, ratio = 1.029854, overshoot = 2.414926e+1111
n =  2477, term = 12, ratio = 1.005381, overshoot = 1.141006e+1116
n =  2490, term = 13, ratio = 1.029668, overshoot = 6.596583e+1122
n =  2502, term = 12, ratio = 1.007118, overshoot = 4.149053e+1127
n =  2515, term = 13, ratio = 1.007244, overshoot = 4.427524e+1133
n =  2528, term = 13, ratio = 1.053641, overshoot = 1.718867e+1140
n =  2540, term = 12, ratio = 1.030742, overshoot = 2.582352e+1145
n =  2552, term = 12, ratio = 1.007966, overshoot = 1.754109e+1150
n =  2565, term = 13, ratio = 1.031332, overshoot = 7.234521e+1156
n =  2577, term = 12, ratio = 1.005089, overshoot = 3.080154e+1161
n =  2590, term = 13, ratio = 1.018762, overshoot = 1.190840e+1168
n =  2603, term = 13, ratio = 1.060954, overshoot = 2.028328e+1174
n =  2615, term = 12, ratio = 1.039078, overshoot = 3.408821e+1179
n =  2627, term = 12, ratio = 1.011517, overshoot = 2.633657e+1184
n =  2640, term = 13, ratio = 1.030734, overshoot = 7.369469e+1190
n =  2652, term = 12, ratio = 1.007401, overshoot = 4.652153e+1195
n =  2665, term = 13, ratio = 1.049794, overshoot = 1.640976e+1202
n =  2677, term = 12, ratio = 1.025116, overshoot = 2.169744e+1207
n =  2689, term = 12, ratio = 1.001153, overshoot = 2.611369e+1211
n =  2702, term = 13, ratio = 1.025502, overshoot = 6.055762e+1218
n =  2715, term = 13, ratio = 1.025015, overshoot = 6.228768e+1224
n =  2728, term = 13, ratio = 1.069981, overshoot = 9.135918e+1230
n =  2740, term = 12, ratio = 1.046936, overshoot = 1.606280e+1236
n =  2752, term = 12, ratio = 1.023998, overshoot = 2.152942e+1241
n =  2764, term = 12, ratio = 1.000904, overshoot = 2.126603e+1245
n =  2777, term = 13, ratio = 1.020076, overshoot = 4.950812e+1252
n =  2790, term = 13, ratio = 1.033008, overshoot = 8.535198e+1258
n =  2802, term = 12, ratio = 1.009495, overshoot = 6.435832e+1263
n =  2815, term = 13, ratio = 1.052005, overshoot = 1.848177e+1270
n =  2827, term = 12, ratio = 1.024328, overshoot = 2.266435e+1275
n =  2840, term = 13, ratio = 1.042790, overshoot = 4.180049e+1281
n =  2852, term = 12, ratio = 1.019265, overshoot = 4.933487e+1286
n =  2865, term = 13, ratio = 1.067967, overshoot = 9.125347e+1292
n =  2877, term = 12, ratio = 1.038382, overshoot = 1.350895e+1298
n =  2889, term = 12, ratio = 1.013138, overshoot = 1.212119e+1303
n =  2902, term = 13, ratio = 1.036205, overshoot = 3.502678e+1309
n =  2914, term = 12, ratio = 1.012828, overshoot = 3.253402e+1314
n =  2927, term = 13, ratio = 1.011949, overshoot = 3.177544e+1320
n =  2940, term = 13, ratio = 1.057109, overshoot = 7.962357e+1326
n =  2952, term = 12, ratio = 1.033357, overshoot = 1.219193e+1332
n =  2964, term = 12, ratio = 1.009689, overshoot = 9.283361e+1336
n =  2977, term = 13, ratio = 1.032024, overshoot = 3.217333e+1343
n =  2989, term = 12, ratio = 1.004863, overshoot = 1.280817e+1348
n =  3002, term = 13, ratio = 1.017567, overshoot = 4.851230e+1354
n =  3015, term = 13, ratio = 1.058845, overshoot = 8.519992e+1360
n =  3027, term = 12, ratio = 1.030709, overshoot = 1.165546e+1366
n =  3039, term = 12, ratio = 1.005191, overshoot = 5.164824e+1370
n =  3052, term = 13, ratio = 1.024521, overshoot = 2.558282e+1377
n =  3064, term = 12, ratio = 1.000544, overshoot = 1.486672e+1381
n =  3077, term = 13, ratio = 1.042527, overshoot = 6.097940e+1388
n =  3089, term = 12, ratio = 1.016930, overshoot = 6.363930e+1393
n =  3102, term = 13, ratio = 1.039440, overshoot = 1.554525e+1400
n =  3114, term = 12, ratio = 1.015704, overshoot = 1.622644e+1405
n =  3127, term = 13, ratio = 1.014386, overshoot = 1.558581e+1411
n =  3140, term = 13, ratio = 1.058992, overshoot = 3.350924e+1417
n =  3152, term = 12, ratio = 1.034886, overshoot = 5.194742e+1422
n =  3164, term = 12, ratio = 1.010849, overshoot = 4.234750e+1427
n =  3177, term = 13, ratio = 1.032738, overshoot = 1.339976e+1434
n =  3189, term = 12, ratio = 1.005202, overshoot = 5.581994e+1438
n =  3202, term = 13, ratio = 1.017493, overshoot = 1.968146e+1445
n =  3215, term = 13, ratio = 1.058371, overshoot = 3.443152e+1451
n =  3227, term = 12, ratio = 1.035169, overshoot = 5.438318e+1456
